age,math,programming,creativity,communication,logic,preferred_subject,career
24,4,4,4,4,4,Physics,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
22,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
22,2,2,2,2,2,ComputerScience,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
24,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
24,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
